,county_desc,reg_DEM,reg_LIB,reg_REP,reg_UNA,reg_Total,turn_DEM,turn_LIB,turn_REP,turn_UNA,turn_Total,ab_DEM,ab_LIB,ab_REP,ab_UNA,ab_Total,DEM%_of_registrants,REP%_of_registrants,UNA%_of_registrants,LIB%_of_registrants,%DEM_voting,%REP_voting,%UNA_voting,%LIB_voting,DEM%_of_AB,REP%_of_AB,UNA%_of_AB,LIB%_of_AB,DEM%_of_votes,REP%_of_votes,UNA%_of_votes,LIB%_of_votes,DEM_votes%-reg%,REP_votes%-reg%,UNA_votes%-reg%,LIB_votes%-reg%
0,ALAMANCE,39554.0,440.0,33156.0,28090.0,101240.0,27738.0,276.0,25792.0,17725.0,71531.0,17926.0,137.0,14873.0,9905.0,42841.0,39.07,32.75,27.75,0.43,70.13,77.79,63.1,62.73,41.84,34.72,23.12,0.32,38.78,36.06,24.78,0.39,-0.28999999999999915,3.3100000000000023,-2.969999999999999,-0.03999999999999998
1,ALEXANDER,6556.0,71.0,10752.0,7060.0,24439.0,4730.0,41.0,8745.0,4926.0,18442.0,3375.0,21.0,6205.0,3503.0,13104.0,26.83,44.0,28.89,0.29,72.15,81.33,69.77,57.75,25.76,47.35,26.73,0.16,25.65,47.42,26.71,0.22,-1.1799999999999997,3.4200000000000017,-2.1799999999999997,-0.06999999999999998
2,ALLEGHANY,2813.0,36.0,2557.0,2064.0,7470.0,2005.0,20.0,2006.0,1345.0,5376.0,1445.0,9.0,1388.0,922.0,3764.0,37.66,34.23,27.63,0.48,71.28,78.45,65.16,55.56,38.39,36.88,24.5,0.24,37.3,37.31,25.02,0.37,-0.35999999999999943,3.0800000000000054,-2.6099999999999994,-0.10999999999999999
3,ANSON,11936.0,19.0,2456.0,3002.0,17413.0,7288.0,10.0,1663.0,1637.0,10598.0,4438.0,8.0,828.0,812.0,6086.0,68.55,14.1,17.24,0.11,61.06,67.71,54.53,52.63,72.92,13.6,13.34,0.13,68.77,15.69,15.45,0.09,0.21999999999999886,1.5899999999999999,-1.7899999999999991,-0.020000000000000004
4,ASHE,5670.0,65.0,8060.0,5254.0,19049.0,3984.0,43.0,6129.0,3481.0,13637.0,2269.0,30.0,3152.0,1892.0,7343.0,29.77,42.31,27.58,0.34,70.26,76.04,66.25,66.15,30.9,42.93,25.77,0.41,29.21,44.94,25.53,0.32,-0.5599999999999987,2.6299999999999955,-2.049999999999997,-0.020000000000000018
5,AVERY,1495.0,50.0,7035.0,3395.0,11975.0,952.0,18.0,5209.0,2147.0,8326.0,470.0,6.0,1928.0,913.0,3317.0,12.48,58.75,28.35,0.42,63.68,74.04,63.24,36.0,14.17,58.12,27.52,0.18,11.43,62.56,25.79,0.22,-1.0500000000000007,3.8100000000000023,-2.5600000000000023,-0.19999999999999998
6,BEAUFORT,13901.0,98.0,10751.0,8592.0,33342.0,9765.0,61.0,8528.0,5700.0,24054.0,6218.0,26.0,5248.0,3530.0,15022.0,41.69,32.24,25.77,0.29,70.25,79.32,66.34,62.24,41.39,34.94,23.5,0.17,40.6,35.45,23.7,0.25,-1.0899999999999963,3.210000000000001,-2.0700000000000003,-0.03999999999999998
7,BERTIE,10310.0,19.0,1541.0,2380.0,14250.0,6823.0,9.0,1051.0,1506.0,9389.0,4076.0,3.0,563.0,873.0,5515.0,72.35,10.81,16.7,0.13,66.18,68.2,63.28,47.37,73.91,10.21,15.83,0.05,72.67,11.19,16.04,0.1,0.3200000000000074,0.379999999999999,-0.6600000000000001,-0.03
8,BLADEN,13717.0,33.0,3463.0,5883.0,23096.0,9557.0,23.0,2564.0,3811.0,15955.0,6438.0,16.0,1682.0,2520.0,10656.0,59.39,14.99,25.47,0.14,69.67,74.04,64.78,69.7,60.42,15.78,23.65,0.15,59.9,16.07,23.89,0.14,0.509999999999998,1.08,-1.5799999999999983,0.0
9,BRUNSWICK,27108.0,339.0,35508.0,32435.0,95390.0,18549.0,207.0,27593.0,22363.0,68712.0,14268.0,137.0,21123.0,16622.0,52150.0,28.42,37.22,34.0,0.36,68.43,77.71,68.95,61.06,27.36,40.5,31.87,0.26,27.0,40.16,32.55,0.3,-1.4200000000000017,2.9399999999999977,-1.4500000000000028,-0.06
10,BUNCOMBE,78326.0,1290.0,47824.0,71124.0,198564.0,57433.0,675.0,35276.0,46630.0,140014.0,46572.0,417.0,25593.0,34160.0,106742.0,39.45,24.08,35.82,0.65,73.33,73.76,65.56,52.33,43.63,23.98,32.0,0.39,41.02,25.19,33.3,0.48,1.5700000000000003,1.110000000000003,-2.520000000000003,-0.17000000000000004
11,BURKE,19322.0,255.0,20675.0,18334.0,58586.0,12840.0,142.0,15254.0,10948.0,39184.0,9288.0,87.0,10721.0,7269.0,27365.0,32.98,35.29,31.29,0.44,66.45,73.78,59.71,55.69,33.94,39.18,26.56,0.32,32.77,38.93,27.94,0.36,-0.20999999999999375,3.6400000000000006,-3.349999999999998,-0.08000000000000002
12,CABARRUS,41428.0,671.0,49388.0,41137.0,132624.0,28430.0,383.0,38072.0,26817.0,93702.0,17150.0,174.0,20954.0,14156.0,52434.0,31.24,37.24,31.02,0.51,68.63,77.09,65.19,57.08,32.71,39.96,27.0,0.33,30.34,40.63,28.62,0.41,-0.8999999999999986,3.3900000000000006,-2.3999999999999986,-0.10000000000000003
13,CALDWELL,15152.0,338.0,24845.0,15152.0,55487.0,8980.0,179.0,18180.0,9197.0,36536.0,6415.0,98.0,13025.0,6197.0,25735.0,27.31,44.78,27.31,0.61,59.27,73.17,60.7,52.96,24.93,50.61,24.08,0.38,24.58,49.76,25.17,0.49,-2.7300000000000004,4.979999999999997,-2.139999999999997,-0.12
14,CAMDEN,2499.0,43.0,2343.0,2800.0,7685.0,1581.0,27.0,1645.0,1783.0,5036.0,1020.0,14.0,914.0,1021.0,2969.0,32.52,30.49,36.43,0.56,63.27,70.21,63.68,62.79,34.36,30.78,34.39,0.47,31.39,32.66,35.41,0.54,-1.1300000000000026,2.169999999999998,-1.0200000000000031,-0.020000000000000018
15,CARTERET,12955.0,228.0,22240.0,17597.0,53020.0,9028.0,125.0,17341.0,11482.0,37976.0,6393.0,75.0,12136.0,7677.0,26281.0,24.43,41.95,33.19,0.43,69.69,77.97,65.25,54.82,24.33,46.18,29.21,0.29,23.77,45.66,30.23,0.33,-0.6600000000000001,3.7099999999999937,-2.9599999999999973,-0.09999999999999998
16,CASWELL,8270.0,32.0,3707.0,3829.0,15838.0,5822.0,15.0,2784.0,2502.0,11123.0,3929.0,6.0,1559.0,1453.0,6947.0,52.22,23.41,24.18,0.2,70.4,75.1,65.34,46.88,56.56,22.44,20.92,0.09,52.34,25.03,22.49,0.13,0.12000000000000455,1.620000000000001,-1.6900000000000013,-0.07
17,CATAWBA,27524.0,389.0,44887.0,31916.0,104716.0,17620.0,212.0,34733.0,20164.0,72729.0,12794.0,147.0,24657.0,13570.0,51168.0,26.28,42.87,30.48,0.37,64.02,77.38,63.18,54.5,25.0,48.19,26.52,0.29,24.23,47.76,27.72,0.29,-2.0500000000000007,4.890000000000001,-2.7600000000000016,-0.08000000000000002
18,CHATHAM,20800.0,215.0,13176.0,17329.0,51520.0,16540.0,130.0,10383.0,13096.0,40149.0,13261.0,92.0,6938.0,9660.0,29951.0,40.37,25.57,33.64,0.42,79.52,78.8,75.57,60.47,44.28,23.16,32.25,0.31,41.2,25.86,32.62,0.32,0.8300000000000054,0.28999999999999915,-1.0200000000000031,-0.09999999999999998
19,CHEROKEE,6558.0,112.0,9955.0,7242.0,23867.0,3593.0,57.0,6687.0,3933.0,14270.0,1938.0,30.0,3668.0,2116.0,7752.0,27.48,41.71,30.34,0.47,54.79,67.17,54.31,50.89,25.0,47.32,27.3,0.39,25.18,46.86,27.56,0.4,-2.3000000000000007,5.149999999999999,-2.780000000000001,-0.06999999999999995
20,CHOWAN,5109.0,23.0,2610.0,2653.0,10395.0,3497.0,14.0,1955.0,1788.0,7254.0,2501.0,7.0,1400.0,1262.0,5170.0,49.15,25.11,25.52,0.22,68.45,74.9,67.4,60.87,48.38,27.08,24.41,0.14,48.21,26.95,24.65,0.19,-0.9399999999999977,1.8399999999999999,-0.870000000000001,-0.03
21,CLAY,2232.0,36.0,3627.0,3145.0,9040.0,1392.0,19.0,2700.0,1954.0,6065.0,922.0,11.0,1766.0,1255.0,3954.0,24.69,40.12,34.79,0.4,62.37,74.44,62.13,52.78,23.32,44.66,31.74,0.28,22.95,44.52,32.22,0.31,-1.740000000000002,4.400000000000006,-2.5700000000000003,-0.09000000000000002
22,CLEVELAND,26810.0,209.0,20472.0,16334.0,63825.0,18696.0,120.0,15590.0,10426.0,44832.0,12700.0,69.0,9985.0,6426.0,29180.0,42.01,32.08,25.59,0.33,69.74,76.15,63.83,57.42,43.52,34.22,22.02,0.24,41.7,34.77,23.26,0.27,-0.30999999999999517,2.690000000000005,-2.3299999999999983,-0.06
23,COLUMBUS,21468.0,53.0,6709.0,8395.0,36625.0,14032.0,21.0,4798.0,4953.0,23804.0,7710.0,11.0,2660.0,2506.0,12887.0,58.62,18.32,22.92,0.14,65.36,71.52,59.0,39.62,59.83,20.64,19.45,0.09,58.95,20.16,20.81,0.09,0.3300000000000054,1.8399999999999999,-2.110000000000003,-0.05000000000000002
24,CRAVEN,25485.0,355.0,24857.0,21416.0,72113.0,16700.0,174.0,17935.0,12426.0,47235.0,12851.0,111.0,13293.0,8712.0,34967.0,35.34,34.47,29.7,0.49,65.53,72.15,58.02,49.01,36.75,38.02,24.91,0.32,35.36,37.97,26.31,0.37,0.01999999999999602,3.5,-3.3900000000000006,-0.12
25,CUMBERLAND,99466.0,1007.0,49002.0,63107.0,212582.0,63655.0,478.0,32188.0,31686.0,128007.0,45066.0,265.0,20151.0,19628.0,85110.0,46.79,23.05,29.69,0.47,64.0,65.69,50.21,47.47,52.95,23.68,23.06,0.31,49.73,25.15,24.75,0.37,2.9399999999999977,2.099999999999998,-4.940000000000001,-0.09999999999999998
26,CURRITUCK,4186.0,129.0,6775.0,7841.0,18931.0,2715.0,69.0,4932.0,4994.0,12710.0,1230.0,23.0,2082.0,2060.0,5395.0,22.11,35.79,41.42,0.68,64.86,72.8,63.69,53.49,22.8,38.59,38.18,0.43,21.36,38.8,39.29,0.54,-0.75,3.009999999999998,-2.1300000000000026,-0.14
27,DARE,9286.0,196.0,8905.0,11163.0,29550.0,6324.0,96.0,6362.0,6944.0,19726.0,3844.0,49.0,3413.0,3879.0,11185.0,31.42,30.14,37.78,0.66,68.1,71.44,62.21,48.98,34.37,30.51,34.68,0.44,32.06,32.25,35.2,0.49,0.6400000000000006,2.1099999999999994,-2.5799999999999983,-0.17000000000000004
28,DAVIDSON,27774.0,415.0,49431.0,28368.0,105988.0,18512.0,216.0,38959.0,17577.0,75264.0,11117.0,110.0,24776.0,10185.0,46188.0,26.2,46.64,26.77,0.39,66.65,78.81,61.96,52.05,24.07,53.64,22.05,0.24,24.6,51.76,23.35,0.29,-1.5999999999999979,5.119999999999997,-3.419999999999998,-0.10000000000000003
29,DAVIE,5738.0,97.0,15187.0,8545.0,29567.0,3880.0,56.0,12170.0,5811.0,21917.0,2668.0,37.0,8105.0,3682.0,14492.0,19.41,51.36,28.9,0.33,67.62,80.13,68.0,57.73,18.41,55.93,25.41,0.26,17.7,55.53,26.51,0.26,-1.7100000000000009,4.170000000000002,-2.389999999999997,-0.07
30,DUPLIN,14481.0,92.0,8179.0,7435.0,30187.0,9767.0,41.0,6167.0,4953.0,20928.0,5547.0,17.0,3217.0,2451.0,11232.0,47.97,27.09,24.63,0.3,67.45,75.4,66.62,44.57,49.39,28.64,21.82,0.15,46.67,29.47,23.67,0.2,-1.2999999999999972,2.379999999999999,-0.9599999999999973,-0.09999999999999998
31,DURHAM,129824.0,1081.0,29914.0,71913.0,232732.0,90644.0,657.0,20381.0,45161.0,156843.0,74945.0,442.0,14955.0,35039.0,125381.0,55.78,12.85,30.9,0.46,69.82,68.13,62.8,60.78,59.77,11.93,27.95,0.35,57.79,12.99,28.79,0.42,2.009999999999998,0.14000000000000057,-2.1099999999999994,-0.040000000000000036
32,EDGECOMBE,27495.0,71.0,6239.0,4819.0,38624.0,18116.0,34.0,4306.0,2505.0,24961.0,12855.0,19.0,2458.0,1541.0,16873.0,71.19,16.15,12.48,0.18,65.89,69.02,51.98,47.89,76.19,14.57,9.13,0.11,72.58,17.25,10.04,0.14,1.3900000000000006,1.1000000000000014,-2.4400000000000013,-0.03999999999999998
33,FORSYTH,106855.0,1172.0,77116.0,71224.0,256367.0,74382.0,661.0,59119.0,45135.0,179297.0,52836.0,335.0,36348.0,27175.0,116694.0,41.68,30.08,27.78,0.46,69.61,76.66,63.37,56.4,45.28,31.15,23.29,0.29,41.49,32.97,25.17,0.37,-0.18999999999999773,2.8900000000000006,-2.6099999999999994,-0.09000000000000002
34,FRANKLIN,18621.0,191.0,13195.0,11552.0,43559.0,13010.0,110.0,10059.0,7384.0,30563.0,9045.0,57.0,6088.0,4660.0,19850.0,42.75,30.29,26.52,0.44,69.87,76.23,63.92,57.59,45.57,30.67,23.48,0.29,42.57,32.91,24.16,0.36,-0.17999999999999972,2.6199999999999974,-2.3599999999999994,-0.08000000000000002
35,GASTON,46290.0,608.0,54504.0,41454.0,142856.0,29962.0,347.0,41349.0,25134.0,96792.0,22314.0,198.0,30480.0,16790.0,69782.0,32.4,38.15,29.02,0.43,64.73,75.86,60.63,57.07,31.98,43.68,24.06,0.28,30.96,42.72,25.97,0.36,-1.4399999999999977,4.57,-3.0500000000000007,-0.07
36,GATES,4741.0,23.0,1738.0,2156.0,8658.0,3091.0,9.0,1118.0,1202.0,5420.0,1579.0,4.0,438.0,467.0,2488.0,54.76,20.07,24.9,0.27,65.2,64.33,55.75,39.13,63.46,17.6,18.77,0.16,57.03,20.63,22.18,0.17,2.270000000000003,0.5599999999999987,-2.719999999999999,-0.1
37,GRAHAM,2015.0,17.0,2808.0,1596.0,6436.0,1259.0,14.0,2080.0,890.0,4243.0,798.0,5.0,1233.0,550.0,2586.0,31.31,43.63,24.8,0.26,62.48,74.07,55.76,82.35,30.86,47.68,21.27,0.19,29.67,49.02,20.98,0.33,-1.639999999999997,5.390000000000001,-3.8200000000000003,0.07
38,GRANVILLE,19090.0,139.0,9258.0,9601.0,38088.0,13997.0,85.0,7085.0,6314.0,27481.0,10121.0,53.0,4835.0,4294.0,19303.0,50.12,24.31,25.21,0.36,73.32,76.53,65.76,61.15,52.43,25.05,22.25,0.27,50.93,25.78,22.98,0.31,0.8100000000000023,1.4700000000000024,-2.2300000000000004,-0.04999999999999999
39,GREENE,6758.0,24.0,2065.0,2610.0,11457.0,4839.0,7.0,1536.0,1741.0,8123.0,3125.0,2.0,857.0,1005.0,4989.0,58.99,18.02,22.78,0.21,71.6,74.38,66.7,29.17,62.64,17.18,20.14,0.04,59.57,18.91,21.43,0.09,0.5799999999999983,0.8900000000000006,-1.3500000000000014,-0.12
40,GUILFORD,169357.0,1650.0,95889.0,99028.0,365924.0,119281.0,963.0,74930.0,63540.0,258714.0,87299.0,536.0,49937.0,40519.0,178291.0,46.28,26.2,27.06,0.45,70.43,78.14,64.16,58.36,48.96,28.01,22.73,0.3,46.11,28.96,24.56,0.37,-0.1700000000000017,2.7600000000000016,-2.5,-0.08000000000000002
41,HALIFAX,26116.0,82.0,4711.0,7941.0,38850.0,17358.0,44.0,3017.0,4786.0,25205.0,10407.0,18.0,1605.0,2622.0,14652.0,67.22,12.13,20.44,0.21,66.47,64.04,60.27,53.66,71.03,10.95,17.9,0.12,68.87,11.97,18.99,0.17,1.6500000000000057,-0.16000000000000014,-1.4500000000000028,-0.03999999999999998
42,HARNETT,27162.0,483.0,25526.0,20390.0,73561.0,17319.0,251.0,17967.0,10739.0,46276.0,11343.0,142.0,11274.0,6343.0,29102.0,36.92,34.7,27.72,0.66,63.76,70.39,52.67,51.97,38.98,38.74,21.8,0.49,37.43,38.83,23.21,0.54,0.509999999999998,4.1299999999999955,-4.509999999999998,-0.12
43,HAYWOOD,17429.0,211.0,13309.0,13435.0,44384.0,12391.0,122.0,9754.0,8685.0,30952.0,8431.0,72.0,6501.0,5561.0,20565.0,39.27,29.99,30.27,0.48,71.09,73.29,64.64,57.82,41.0,31.61,27.04,0.35,40.03,31.51,28.06,0.39,0.759999999999998,1.5200000000000031,-2.210000000000001,-0.08999999999999997
44,HENDERSON,18348.0,396.0,31488.0,32330.0,82562.0,12716.0,239.0,24112.0,21539.0,58606.0,9353.0,145.0,16699.0,14521.0,40718.0,22.22,38.14,39.16,0.48,69.3,76.58,66.62,60.35,22.97,41.01,35.66,0.36,21.7,41.14,36.75,0.41,-0.5199999999999996,3.0,-2.4099999999999966,-0.07
45,HERTFORD,11261.0,33.0,1465.0,2516.0,15275.0,7711.0,15.0,929.0,1550.0,10205.0,4890.0,5.0,452.0,781.0,6128.0,73.72,9.59,16.47,0.22,68.48,63.41,61.61,45.45,79.8,7.38,12.74,0.08,75.56,9.1,15.19,0.15,1.8400000000000034,-0.4900000000000002,-1.2799999999999994,-0.07
46,HOKE,15481.0,187.0,6900.0,9780.0,32348.0,9605.0,111.0,3965.0,4608.0,18289.0,6732.0,65.0,2540.0,2808.0,12145.0,47.86,21.33,30.23,0.58,62.04,57.46,47.12,59.36,55.43,20.91,23.12,0.54,52.52,21.68,25.2,0.61,4.660000000000004,0.3500000000000014,-5.030000000000001,0.030000000000000027
47,HYDE,2049.0,9.0,534.0,840.0,3432.0,1385.0,7.0,372.0,555.0,2319.0,493.0,3.0,111.0,214.0,821.0,59.7,15.56,24.48,0.26,67.59,69.66,66.07,77.78,60.05,13.52,26.07,0.37,59.72,16.04,23.93,0.3,0.01999999999999602,0.47999999999999865,-0.5500000000000007,0.03999999999999998
48,IREDELL,31143.0,500.0,48808.0,37195.0,117646.0,20938.0,266.0,37963.0,23794.0,82961.0,13517.0,112.0,23465.0,13999.0,51093.0,26.47,41.49,31.62,0.43,67.23,77.78,63.97,53.2,26.46,45.93,27.4,0.22,25.24,45.76,28.68,0.32,-1.2300000000000004,4.269999999999996,-2.9400000000000013,-0.10999999999999999
